ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration
1,22.9884641245,51.9236421213,1573.3115234375,2012-05-16T16:39:31Z,,,1,12-JUL-10 7:07:41PM,12-JUL-10 7:07:41PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
2,38.0701283645,-110.8401845209,2947.0249023438,2012-05-16T16:39:31Z,,,2,12-JUL-10 10:00:00PM,12-JUL-10 10:00:00PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
3,41.7134645674,-111.7551783845,1475.2575683594,2012-05-16T16:39:31Z,,,3,25-JUL-10 9:48:59PM,25-JUL-10 9:48:59PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
4,38.1704944465,-111.002899725,1703.3286132813,2012-05-16T16:39:31Z,,,5,12-AUG-10 6:53:51PM,12-AUG-10 6:53:51PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
5,38.1704295706,-111.0027617589,1708.8562011719,2012-05-16T16:39:31Z,,,6,12-AUG-10 7:34:55PM,12-AUG-10 7:34:55PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
6,38.0898020323,-111.0086931288,1737.6955566406,2012-05-16T16:39:31Z,,,12,22-AUG-10 10:07:42AM,22-AUG-10 10:07:42AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
7,44.2412666883,-112.17693354,1736.2536621094,2012-05-16T16:39:31Z,,,14,30-APR-12 4:02:26PM,30-APR-12 4:02:26PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
8,44.2410893273,-112.1764700208,1730.4858398438,2012-05-16T16:39:31Z,,,15,30-APR-12 3:11:50PM,30-APR-12 3:11:50PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
9,44.2410049215,-112.1759764943,1724.9582519531,2012-05-16T16:39:31Z,,,16,30-APR-12 3:15:13PM,30-APR-12 3:15:13PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
10,44.2407913506,-112.1763641573,1715.8256835938,2012-05-16T16:39:31Z,,,1-2-Control,30-APR-12 3:29:10PM,30-APR-12 3:29:10PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
11,44.2658479605,-112.1538672969,1706.693359375,2012-05-16T16:39:31Z,,,ARTTRIP-1,01-MAY-12 8:00:05AM,01-MAY-12 8:00:05AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
12,44.2773812078,-112.2343028057,1686.265625,2012-05-16T16:39:31Z,,,ARTTRIP-10,02-MAY-12 2:46:15PM,02-MAY-12 2:46:15PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
13,44.3233629037,-112.2106000409,1778.0705566406,2012-05-16T16:39:31Z,,,ARTTRIP-11,02-MAY-12 3:02:54PM,02-MAY-12 3:02:54PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
14,44.3329852447,-112.219513189,1872.0388183594,2012-05-16T16:39:31Z,,,ARTTRIP-12,02-MAY-12 3:23:47PM,02-MAY-12 3:23:47PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
15,44.3404174782,-112.2300920729,1970.5729980469,2012-05-16T16:39:31Z,,,ARTTRIP-13,02-MAY-12 3:47:19PM,02-MAY-12 3:47:19PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
16,44.1961210873,-112.2576878965,1605.5153808594,2012-05-16T16:39:31Z,,,ARTTRIP-14,02-MAY-12 4:43:20PM,02-MAY-12 4:43:20PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
17,44.0321633499,-112.2361277137,1495.685546875,2012-05-16T16:39:31Z,,,ARTTRIP-15,02-MAY-12 5:11:26PM,02-MAY-12 5:11:26PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
18,44.2741019558,-112.1450559888,1735.5327148438,2012-05-16T16:39:31Z,,,ARTTRIP-2,01-MAY-12 8:16:44AM,01-MAY-12 8:16:44AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
19,44.2804359086,-112.1258208621,1758.6042480469,2012-05-16T16:39:31Z,,,ARTTRIP-3,01-MAY-12 8:38:32AM,01-MAY-12 8:38:32AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
20,44.2920433357,-112.1017059591,1814.1198730469,2012-05-16T16:39:31Z,,,ARTTRIP-4,01-MAY-12 9:02:43AM,01-MAY-12 9:02:43AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
21,44.3069144245,-112.1122964099,1818.2055664063,2012-05-16T16:39:31Z,,,ARTTRIP-5,01-MAY-12 9:37:38AM,01-MAY-12 9:37:38AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
22,44.244941147,-112.2164613381,1658.1472167969,2012-05-16T16:39:31Z,,,ARTTRIP-8,02-MAY-12 2:06:11PM,02-MAY-12 2:06:11PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
23,44.2475110386,-112.2393420897,1646.1306152344,2012-05-16T16:39:31Z,,,ARTTRIP-9,02-MAY-12 2:30:28PM,02-MAY-12 2:30:28PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
24,44.2906029057,-112.1102254093,1791.5290527344,2012-05-16T16:39:31Z,,,ARTTRIP-BOUND,01-MAY-12 10:14:46AM,01-MAY-12 10:14:46AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
25,38.1239292864,-110.8978531882,1898.4748535156,2012-05-16T16:39:31Z,,,BLMeastofsteph,14-JUL-10 3:23:27PM,14-JUL-10 3:23:27PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
26,38.1678344496,-110.9504868463,1758.8444824219,2012-05-16T16:39:31Z,,,BlmST1,27-SEP-10 11:07:49AM,27-SEP-10 11:07:49AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
27,38.1400307547,-110.9592444263,1754.7590332031,2012-05-16T16:39:31Z,,,BLMST2,27-SEP-10 1:30:27PM,27-SEP-10 1:30:27PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
28,38.1127967779,-111.0218752641,1713.9030761719,2012-05-16T16:39:31Z,,,BlmWC1,14-JUL-10 10:47:42AM,14-JUL-10 10:47:42AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
29,38.1400527153,-110.9592094738,1757.4025878906,2012-05-16T16:39:31Z,,,BLMWeststeph,14-JUL-10 4:08:49PM,14-JUL-10 4:08:49PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
30,38.6393383797,-110.5613470171,1526.9282226563,2012-05-16T16:39:31Z,,,Btseeds,12-JUL-10 7:08:19PM,12-JUL-10 7:08:19PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
31,38.1294509489,-111.0183713771,1749.7121582031,2012-05-16T16:39:31Z,,,Camp,12-JUN-11 8:29:45AM,12-JUN-11 8:29:45AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
32,44.2392590549,-112.1770357993,1688.9091796875,2012-05-16T16:39:31Z,,,E1Q1,30-APR-12 7:41:35PM,30-APR-12 7:41:35PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
33,44.2405715771,-112.1768838353,1707.4143066406,2012-05-16T16:39:31Z,,,E1Q2,30-APR-12 3:47:13PM,30-APR-12 3:47:13PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
34,44.2408862337,-112.176025277,1690.8317871094,2012-05-16T16:39:31Z,,,E1Q3,30-APR-12 7:06:54PM,30-APR-12 7:06:54PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
35,44.2414926644,-112.1756682079,1694.9172363281,2012-05-16T16:39:31Z,,,E1Q4,30-APR-12 6:53:45PM,30-APR-12 6:53:45PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
36,44.2414642498,-112.1759489179,1693.4753417969,2012-05-16T16:39:31Z,,,E1Q5,30-APR-12 6:56:01PM,30-APR-12 6:56:01PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
37,44.2402935494,-112.1768899541,1691.3125,2012-05-16T16:39:31Z,,,E1Q6,30-APR-12 7:23:21PM,30-APR-12 7:23:21PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
38,38.1404744089,-110.9542731196,1747.30859375,2012-05-16T16:39:31Z,,,Fast10,15-JUN-11 5:23:46PM,15-JUN-11 5:23:46PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
39,38.1880033202,-110.9649447072,1724.9582519531,2012-05-16T16:39:31Z,,,Fast2,15-JUN-11 10:11:33AM,15-JUN-11 10:11:33AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
40,38.1862443779,-110.9692955017,1723.5163574219,2012-05-16T16:39:31Z,,,Fast3,15-JUN-11 10:52:53AM,15-JUN-11 10:52:53AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
41,38.1841933262,-110.9710250236,1720.8728027344,2012-05-16T16:39:31Z,,,Fast4,15-JUN-11 11:30:26AM,15-JUN-11 11:30:26AM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
42,38.1857794337,-110.9579424653,1733.8503417969,2012-05-16T16:39:31Z,,,Fast5,15-JUN-11 12:57:46PM,15-JUN-11 12:57:46PM,,"Flag, Blue",,,,,,,,,,,,SymbolAndName,,
