year,Treatment,X,quad,trackID,age,distEdgeMin,allEdge,QuadName,Grazing,Group,area.t0,logarea.t0,logarea.t1,species,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,Period,Treatment2,Treatment3,VWC_fall,VWC_spring,VWC_summer,TAVG_fall,TAVG_spring,TAVG_summer
1932,Control,168,Q13,12,3,31.5982316237199,0,P1 Q3,yes,P1,0.25,-1.38629436111989,3.99064718223241,ARTR,0,0,1.77029806658854e-5,2.63999332672449,0,1.14114,Historical,Control,Control,9.873061847154434,14.307869392880853,12.206458087059467,7.083516483516483,3.703804347826087,17.904347826086955
1932,Control,141,Q12,9,3,21.4199105204905,0,P1 Q2,yes,P1,0.25,-1.38629436111989,1.70179271833835,ARTR,7.375e-4,0,0,0.434035065614954,6.38886280587159,0.03115,Historical,Control,Control,9.873061847154434,14.307869392880853,12.206458087059467,7.083516483516483,3.703804347826087,17.904347826086955
1932,Control,140,Q12,10,3,36.5024394407872,0,P1 Q2,yes,P1,0.25,-1.38629436111989,3.69463021996302,ARTR,7.375e-4,0,0,14.802160773175,0.162017861315697,0.062,Historical,Control,Control,9.873061847154434,14.307869392880853,12.206458087059467,7.083516483516483,3.703804347826087,17.904347826086955
1933,Control,311,Q19,49,1,16.4506886408626,0,P7 E1 Q1,no,P7E1,0.25,-1.38629436111989,-1.38629436111989,ARTR,7.34770575354535e-4,0,0.0151548206109096,0.785196168333351,3.91825248534814e-4,0.38411,Historical,Control,Control,10.802445825846217,12.240867643784886,9.962728546664275,8.246703296703297,11.439673913043478,20.252717391304348
1933,Control,312,Q19,50,1,22.5145988027601,0,P7 E1 Q1,no,P7E1,0.25,-1.38629436111989,-1.38629436111989,ARTR,0.02689,0,0.234152461284988,0.364950587457801,3.09253547349347e-4,0.00493,Historical,Control,Control,10.802445825846217,12.240867643784886,9.962728546664275,8.246703296703297,11.439673913043478,20.252717391304348
1934,Control,193,Q14,18,1,21.2778488016083,0,P1 Q4,yes,P1,0.25,-1.38629436111989,1.59617084383867,ARTR,0,0,4.94489065740639e-5,0.22859315744564,0.0110275685486756,0.00476,Historical,Control,Control,14.716759794567274,20.44845770351369,10.313418154757063,8.30989010989011,3.838586956521739,20.202173913043477
1934,Control,194,Q14,19,1,10.2595003538467,0,P1 Q4,yes,P1,0.25,-1.38629436111989,0.791587756281448,ARTR,0.0418942182094046,0,0.0111445715877686,0.0905862978491335,0.152733282950364,0.13737,Historical,Control,Control,14.716759794567274,20.44845770351369,10.313418154757063,8.30989010989011,3.838586956521739,20.202173913043477
1935,Control,361,Q2,59,1,18.857333955604,0,E1 Q2,no,E1,0.25,-1.38629436111989,-1.38629436111989,ARTR,0.348344754503536,0,0.056702398440638097,4.14435203670828,0.127182942478279,0.37827,Historical,Control,Control,14.94590006681234,14.146847569957421,9.788031114638194,6.704395604395605,5.8570652173913045,19.331521739130434
1935,Control,1043,Q8,111,1,20.7971675511605,0,P1 E1 Q2,no,P1E1,0.25,-1.38629436111989,0.643149674772977,ARTR,0.0796065579927619,0.746176364816266,0,0.435266446562189,11.4357194611816,1.02434,Historical,Control,Control,14.94590006681234,14.146847569957421,9.788031114638194,6.704395604395605,5.8570652173913045,19.331521739130434
1935,Control,360,Q2,56,1,22.1303730211523,0,E1 Q2,no,E1,0.25,-1.38629436111989,-1.38629436111989,ARTR,0.36319545994135,0,0,0.0554285939622652,0.0140529408072469,0.29774,Historical,Control,Control,14.94590006681234,14.146847569957421,9.788031114638194,6.704395604395605,5.8570652173913045,19.331521739130434
1935,Control,359,Q2,53,1,17.149054266513,0,E1 Q2,no,E1,0.25,-1.38629436111989,-1.38629436111989,ARTR,0.290980399583545,0,4.56979240230114e-5,0.029825828769445,2.23899788122592,0.05157,Historical,Control,Control,14.94590006681234,14.146847569957421,9.788031114638194,6.704395604395605,5.8570652173913045,19.331521739130434
