"","year","Group","QuadName","quad","cov.ARTR","cov.HECO","cov.POSE","cov.PSSP","Treatment","Period","Gcov.ARTR","Gcov.HECO","Gcov.POSE","Gcov.PSSP","Treatment2","Treatment3","species","Y"
"623",1926,"P1E1","P1 E1 Q2","Q8",66.9973185134693,336.745282225893,392.021542205062,232.178691147728,"Control","Historical",66.9973185134693,336.745282225893,392.021542205062,232.178691147728,"Control","Control","HECO",0
"624",1926,"P7E1","P7 E1 Q1","Q19",25.1845991133206,0,69.3500073326453,654.81760125563,"Control","Historical",34.7866894132985,160.436531599784,39.6426750960554,838.660454717665,"Control","Control","HECO",0
"625",1926,"P7E1","P7 E1 Q2","Q20",44.3887797132765,320.873063199567,9.93534285946551,1022.5033081797,"Control","Historical",34.7866894132985,160.436531599784,39.6426750960554,838.660454717665,"Control","Control","HECO",0
"626",1929,"P1E1","P1 E1 Q1","Q7",173.702045192936,194.114184693479,55.8332226630708,243.193995426115,"Control","Historical",221.469246992539,237.887814612153,79.5521520989959,244.275042436239,"Control","Control","HECO",0
"627",1929,"P1E1","P1 E1 Q2","Q8",269.236448792141,281.661444530827,103.271081534921,245.356089446363,"Control","Historical",221.469246992539,237.887814612153,79.5521520989959,244.275042436239,"Control","Control","HECO",1
"628",1929,"P7E1","P7 E1 Q1","Q19",0.25,0,22.4023242842532,307.062276204244,"Control","Historical",184.72739804681,35.8543032168497,21.2758484209207,369.079623485013,"Control","Control","HECO",0
"629",1929,"P7E1","P7 E1 Q2","Q20",369.20479609362,71.7086064336994,20.1493725575882,431.096970765782,"Control","Historical",184.72739804681,35.8543032168497,21.2758484209207,369.079623485013,"Control","Control","HECO",1
"630",1930,"P1","P1 Q1","Q11",9.4602559251676,126.791471735742,19.1684225183006,133.550464754582,"Control","Historical",42.2621457966663,34.721594362654,9.20370149071926,392.376305841704,"Control","Control","HECO",0
"631",1930,"P1","P1 Q3","Q13",12.2349782283768,12.0949057148739,9.40469688218302,742.952029660112,"Control","Historical",42.2621457966663,34.721594362654,9.20370149071926,392.376305841704,"Control","Control","HECO",0
"632",1930,"P1","P1 Q2","Q12",14.5119498107657,0,0.467581197706075,336.994364193152,"Control","Historical",42.2621457966663,34.721594362654,9.20370149071926,392.376305841704,"Control","Control","HECO",0
"633",1930,"P1","P1 Q4","Q14",132.841399222355,0,7.77410536468734,356.008364758969,"Control","Historical",42.2621457966663,34.721594362654,9.20370149071926,392.376305841704,"Control","Control","HECO",0
"634",1930,"P1E1","P1 E1 Q2","Q8",442.358313571934,250.019183080362,94.8115443593122,265.382686865229,"Control","Historical",226.493172896031,268.650650492869,62.6666250103412,157.722157614091,"Control","Control","HECO",1
"635",1930,"P1E1","P1 E1 Q3","Q9",0,393.476166772305,18.7402352853633,64.6724293770752,"Control","Historical",226.493172896031,268.650650492869,62.6666250103412,157.722157614091,"Control","Control","HECO",2
"636",1930,"P1E1","P1 E1 Q1","Q7",377.052162290651,148.840431495337,78.8413925372747,187.856197472537,"Control","Historical",226.493172896031,268.650650492869,62.6666250103412,157.722157614091,"Control","Control","HECO",1
"637",1930,"P1E1","P1 E1 Q4","Q10",86.5622157215389,282.266820623473,58.2733278594146,112.977316741522,"Control","Historical",226.493172896031,268.650650492869,62.6666250103412,157.722157614091,"Control","Control","HECO",3
"638",1930,"P2","P2 Q1","Q15",619.4992,0,0,54.8255,"Control","Historical",376.026521244181,8.04246444445995,5.39603586660687,50.485804112642,"Control","Control","HECO",0
"639",1930,"P2","P2 Q2","Q16",67.9080379475513,0,11.4627922519815,42.1626716429742,"Control","Historical",376.026521244181,8.04246444445995,5.39603586660687,50.485804112642,"Control","Control","HECO",0
"640",1930,"P2","P2 Q3","Q17",583.984590332348,0,0,65.7799684032848,"Control","Historical",376.026521244181,8.04246444445995,5.39603586660687,50.485804112642,"Control","Control","HECO",0
"641",1930,"P2","P2 Q4","Q18",232.714256696825,32.1698577778398,10.121351214446,39.1750764043089,"Control","Historical",376.026521244181,8.04246444445995,5.39603586660687,50.485804112642,"Control","Control","HECO",0
"642",1930,"P7E1","P7 E1 Q1","Q19",0,0,30.1171172660824,364.309866212279,"Control","Historical",573.756670541657,89.9440198321235,35.2174438023481,368.71809937674,"Control","Control","HECO",0
"643",1930,"P7E1","P7 E1 Q3","Q21",455.52253337046,54.8978704819464,57.4623571591234,437.059598653335,"Control","Historical",573.756670541657,89.9440198321235,35.2174438023481,368.71809937674,"Control","Control","HECO",2
"644",1930,"P7E1","P7 E1 Q2","Q20",541.749067320127,56.9254350342295,14.6565671560706,360.220318639213,"Control","Historical",573.756670541657,89.9440198321235,35.2174438023481,368.71809937674,"Control","Control","HECO",1
"645",1930,"P7E1","P7 E1 Q4","Q22",1297.75508147604,247.952773812318,38.6337336281162,313.282614002134,"Control","Historical",573.756670541657,89.9440198321235,35.2174438023481,368.71809937674,"Control","Control","HECO",1
"646",1931,"P1","P1 Q3","Q13",28.6260107594398,9.0831304423294,10.6767319249276,744.859339128563,"Control","Historical",66.9417709989067,52.8763576991841,12.4208156866049,475.127745810172,"Control","Control","HECO",0
