quad,pid,age,year,area0,survives,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,W.intra,date_reformat,QuadName,Grazing,paddock,Group,Treatment,PrecipGroup,climate
Q1,Q1_1,1,2008,3.73683093661231,1,0,0.866729821706473,0,0.0594289951065388,0.606689933020479,0.02012,0,15/06/2007,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_1,2,2009,1.46210503094359,1,0,0.126652634840802,0.0038250000000006,0.00375490491882966,17.3126229689729,0.0355,0.0038250000000006,15/06/2008,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_1,3,2010,3.45228574570097,1,0,9.18704881369498e-6,0,0.00201211017245027,25.301734857819,0.05187,0,15/06/2009,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,1,1933,0.872909143027332,1,0.353245317566393,0,0.00317762464208372,0.0471945052832445,1.16619996628176,1.00479,0.00317762464208372,15/06/1932,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,2,1934,1.34234237579207,1,0.417321244188033,0.00133019386094637,5.52814412427553e-5,0.0771007630678034,2.53436465292574,1.00143,5.52814412427553e-5,15/06/1933,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,3,1935,1.21120471864163,1,0.191291291674076,0.0109437940013256,8.46330410095346e-5,0.0532801584930288,2.26455535383642,1.00479,8.46330410095346e-5,15/06/1934,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,4,1936,1.55569428028795,1,0.457873579556967,1.7648166855963e-4,0.00101543379147416,0.129218803209601,3.80453742945281,0.76309,0.00101543379147416,15/06/1935,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,5,1937,2.36422920385356,1,0.694255285592153,0.0235211851255031,4.019640448061e-4,0.0500993754688145,2.65057096246631,0.65582,4.019640448061e-4,15/06/1936,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,6,1938,2.11701884302765,1,0.842085688334568,0.0803330335127134,8.4066388339317e-4,0.0473853298767372,2.17141455783,0.76502,8.4066388339317e-4,15/06/1937,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,7,1939,1.58252579097831,1,0.798104133964356,0.170568183908265,6.3835754113371e-4,0.0722441267825687,6.81333702763721,0.38394,6.3835754113371e-4,15/06/1938,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,8,1940,2.43419875636572,1,1.68454931257811,0.254023790511569,0.00103641586734413,0.101354894906378,3.39683962075073,1.00958,0.00103641586734413,15/06/1939,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,9,1941,1.83385578062755,1,1.2556915548743,0.162959444856167,0.00185323471342568,0.0729933575414425,1.00253814488228,0.38394,0.00185323471342568,15/06/1940,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,10,1942,0.89465936876753,1,1.12788496464801,0.356636938196357,0.00194008496557769,0.0899679420701471,2.77210916629724,1.28146,0.00194008496557769,15/06/1941,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,14,1946,1.53828786066964,1,8.67153013338008,0.884942600187416,0.00710196560226035,0.00801612846049879,0.244984628212376,0.18886,0.00710196560226035,15/06/1945,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,15,1947,2.02046881792085,1,0.211854091234149,0.00431711649062079,0.00159191650060313,0.00502528136057398,0.0124965502819231,0,0.00159191650060313,15/06/1946,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,18,1950,1.31432764446287,1,0.0883044491000777,0.00439571862355706,0.00585577222088492,0.0133063285228478,0.013471499620309,3e-5,0.00585577222088492,15/06/1949,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,19,1951,1.34456088819226,1,0.106686376749751,0.00729741338432365,0.0256759879290287,0.0391156666154483,0.010635717131822,1,0.0256759879290287,15/06/1950,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,20,1952,0.871957732822281,1,0.0881584239722348,0.0169217040651694,0.0133475808126584,0.0322427005563936,0.020447824567698,0.0153,0.0133475808126584,15/06/1951,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_10,1,2009,-1.38629436111989,1,0,1.3573411964163,0.09443,0.00349281848742704,63.0940204622162,0.42632,0.09443,15/06/2008,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_100,1,1936,-1.38629436111989,0,2.23153946809586,0.00195937408788066,0.0425991651353571,5.90533018796007,1.1177342356249,0.15168,0.0425991651353571,15/06/1935,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_101,1,1938,-1.38629436111993,0,1.39271961398253,0.00163327590204315,0.00371296750722886,0.467185975076829,6.35731375946724,0.02152,0.00371296750722886,15/06/1937,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_102,1,1939,-1.38629436111993,1,0.217186453980392,1.65e-4,0.00225860230577008,0.035373660172686,4.05844254265161,0.00636,0.00225860230577008,15/06/1938,E1 Q1,UG,NA,E1,Control,NA,1
Q1,Q1_102,4,1942,-1.38629436111993,1,0,0.00261170546942405,0.0352947513281841,0.206546324627981,8.66004357684445,0.01679,0.0352947513281841,15/06/1941,E1 Q1,UG,NA,E1,Control,NA,1
