quad,year,trackID,age,allEdge,area,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,Treatment,Period,species,Treatment2,Treatment3,pid
Q1,1932,10,NA,0,2.39386482874057,0.3532453175663928,0,0.0031776246420837178,0.04719450528324447,1.1661999662817593,1.00479,Control,Historical,POSE,Control,Control,Q1_10
Q1,1932,11,NA,0,26.8549653289366,0.9106537130643354,0,0.505030686510357,0.003919761010410394,0.5498828729158913,1.1e-4,Control,Historical,POSE,Control,Control,Q1_11
Q1,1932,12,NA,0,19.6724726346788,1.3799314536564709,0,1.463567063009748,8.597734736379818e-4,1.90735351113528,0,Control,Historical,POSE,Control,Control,Q1_12
Q1,1932,17,NA,0,2.30916483748211,17.54417261614905,0,3.796074034998365,0.003624093217804983,10.805913908527204,0,Control,Historical,POSE,Control,Control,Q1_17
Q1,1932,18,NA,0,0.662192322028908,4.401557584377045,0,6.840585306738635,0.002096988501514546,9.538398691989364,0,Control,Historical,POSE,Control,Control,Q1_18
Q1,1932,19,NA,0,2.78086797381305,6.779576948525154,0,1.8846266803935257,0.002550711223617653,26.468565275725705,0,Control,Historical,POSE,Control,Control,Q1_19
Q1,1932,24,NA,0,19.37000886159,0.09040389809387292,0,0.011702526092412204,0,0.2893987953144123,0,Control,Historical,POSE,Control,Control,Q1_24
Q1,1932,29,NA,0,7.31474567631709,0,0,1.143028158305781e-5,0.001493573976667005,6.491938692431039,0,Control,Historical,POSE,Control,Control,Q1_29
Q1,1932,31,NA,0,4.53616484599823,0,0,1.4893815733702873e-4,0.6242127900068257,4.9501140936418855,0,Control,Historical,POSE,Control,Control,Q1_31
Q1,1932,59,NA,0,0.647776808613492,0.38532732467945713,0,0,0.5222412696694397,3.4087501351150427,0.0358,Control,Historical,POSE,Control,Control,Q1_59
Q1,1932,87,NA,0,0.521397578943897,0.19195180461303943,0,1.62154822345794,0.0311379904601876,0.08901100037815046,0.048510000000000005,Control,Historical,POSE,Control,Control,Q1_87
