quad,pid,age,year,area,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,W.intra,QuadName,Grazing,paddock,Group,Treatment,PrecipGroup,area0,climate,date_reformat,size_class,TMIN,VWC,TMIN_scaled,VWC_scaled,Split
Q1,Q1_1,2,2008,3.763536510948355,0,0.9943556788324572,0.08166977686751895,0.08102460152751602,0.3104399749326158,0.16657,0.08102460152751602,E1 Q1,UG,NA,E1,Control,NA,5.136861427961012,1,15/06/2008,large,5.876086956521739,13.431707851540196,0.24803559678345188,-0.2568719767709113,Training
Q1,Q1_1,3,2009,4.806321081718224,0,0.00354230803163577,0,0.05542190249907291,4.9374308262118785,0.0025,0.05542190249907291,E1 Q1,UG,NA,E1,Control,NA,3.763536510948355,1,15/06/2009,large,5.833695652173914,19.301655841775318,0.21659633633733041,0.5122568653973146,Training
Q1,Q1_101,7,1956,-1.3862943611199066,6.287179842883267,0.2544823986467076,3.8435727271150257e-4,0.3324516470794966,1.7255471893102,0.0049,0.3324516470794966,E1 Q1,UG,NA,E1,Control,NA,0.11864349258568753,1,15/06/1956,large,6.195652173913043,11.962020577015362,0.48503925245421703,-0.449442485689404,Training
Q1,Q1_12,2,1934,-1.3862943611198906,1.519431453633996,3.3856525265763597,0.3306328172738099,0.03297710744459795,3.27481324607363,0.09334,0.03297710744459795,E1 Q1,UG,NA,E1,Control,NA,-0.5674640742910576,1,15/06/1934,large,5.885869565217392,13.494498043932886,0.2552908107325572,-0.2486446895692447,Training
Q1,Q1_12,3,2009,3.068470551708861,0,0.23685971323692143,0,0.5059751281221174,63.73851965586521,0.0169,0.5059751281221174,E1 Q1,UG,NA,E1,Control,NA,-0.6931471805599453,1,15/06/2009,large,5.833695652173914,19.301655841775318,0.21659633633733041,0.5122568653973146,Training
Q1,Q1_2,2,1933,0.9780632199349841,0.7558581024412018,0,0,1.2600677125451635e-9,4.361452774221276,0.00149,1.2600677125451635e-9,E1 Q1,UG,NA,E1,Control,NA,1.2935210833175996,1,15/06/1933,large,4.7565217391304335,9.726112941651879,-0.5822833329474619,-0.7424094853362491,Training
Q1,Q1_2,3,1934,0.6444336243454365,0.5459755756734836,0.0108675,5.496815826884591e-5,0.03684256075273747,1.767523568168233,0.04024,0.03684256075273747,E1 Q1,UG,NA,E1,Control,NA,0.9780632199349841,1,15/06/1934,large,5.885869565217392,13.494498043932886,0.2552908107325572,-0.2486446895692447,Training
Q1,Q1_2,4,1935,2.6297665305396962,1.3847925566485098,0.0108675,0.00370673004182774,0.0301936175693218,2.693503798101146,0.16567,0.0301936175693218,E1 Q1,UG,NA,E1,Control,NA,0.6444336243454365,1,15/06/1935,large,6.376086956521739,20.133364914530212,0.6188576430710441,0.6212342255396754,Training
Q1,Q1_2,5,1936,1.7776675738239667,0.9611931083243896,0.01222572170746468,0.01059719600864097,0.0897700806814749,0.6526427394876264,0.00143,0.0897700806814749,E1 Q1,UG,NA,E1,Control,NA,2.6297665305396962,1,15/06/1936,large,5.503260869565217,19.544077847275872,-0.028468668165774546,0.5440209894946514,Training
Q1,Q1_2,6,1937,0.907256108061215,2.5063744751262877,0.00676706579792707,0.01239242618264025,0.01431759611470022,6.238136490615666,0.02488,0.01431759611470022,E1 Q1,UG,NA,E1,Control,NA,1.7776675738239667,1,15/06/1937,large,5.8119565217391305,9.581423484894136,0.20047363867265208,-0.7613678874439267,Training
Q1,Q1_2,7,1938,0.9605497540122806,1.5117613241752883,0.01284621162987971,0.00118792141064054,0.03551322376682965,3.91537467054973,0.02777,0.03551322376682965,E1 Q1,UG,NA,E1,Control,NA,0.907256108061215,1,15/06/1938,large,5.920652173913044,10.650851682563621,0.2810871269960424,-0.6212426132806992,Training
Q1,Q1_2,8,1939,1.182724848156427,0.9185889536026268,3.25e-5,0.0027747963207728,0.00365917317333123,1.287354361228526,0.02012,0.00365917317333123,E1 Q1,UG,NA,E1,Control,NA,0.9605497540122806,1,15/06/1939,large,6.866304347826088,22.490913930606194,0.9824244754095323,0.9301396788939104,Training
Q1,Q1_2,9,1940,1.5925924166265601,1.7628516612179077,0.04314483633856701,0.00158547273494588,0.02429253236467418,0.445125479654082,0.02012,0.02429253236467418,E1 Q1,UG,NA,E1,Control,NA,1.182724848156427,1,15/06/1940,large,5.9880434782608685,9.79528017067817,0.33106748975654243,-0.7333466263696153,Training
Q1,Q1_2,10,1941,2.071786576387013,0.6753123751331014,0.21530131013567672,0.0041783964421497,0.06941961012449456,0.1341000010905191,0.01104,0.06941961012449456,E1 Q1,UG,NA,E1,Control,NA,1.5925924166265601,1,15/06/1941,large,7.528260869565217,22.99485305390871,1.4733606192989734,0.9961699256820782,Training
