quad,pid,age,year,area,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,W.intra,QuadName,Grazing,paddock,Group,Treatment,PrecipGroup,area0,climate,date_reformat,size_class,TMIN,VWC,TMIN_scaled,VWC_scaled,Split
Q1,Q1_11,2,2008,1.9020688251426663,0,2.9525266386395e-6,0,0.03201357601830836,61.07106444357099,0.3794,0.03201357601830836,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198866,1,15/06/2008,small,-2.550819672131145,9.680705490984236,-0.05923093810007979,-0.5723525508027034,Training
Q1,Q1_12,2,2008,-0.6931471805599453,0,0,3.01664204999997e-6,0.3241305275764067,49.846847068308485,0.02113,0.3241305275764067,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/2008,small,-2.550819672131145,9.680705490984236,-0.05923093810007979,-0.5723525508027034,Training
Q1,Q1_16,2,2009,-1.3862943611198906,0,0.00725841881855431,0,0.5631007314545351,25.66710556788369,0.47038,0.5631007314545351,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/2009,small,-2.099180327868854,10.364104141641802,0.2669446327413246,-0.4158831361094659,Training
Q1,Q1_17,2,2009,-1.3862943611198906,0,0.02052825476923937,0.04135554750760238,0.0427406450115242,2.377356733548039,0.03206,0.0427406450115242,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/2009,small,-2.099180327868854,10.364104141641802,0.2669446327413246,-0.4158831361094659,Training
Q1,Q1_22,7,1940,0.6200754911471669,1.952785903952088,0.01419511562299802,0.01778549430799329,0.09743812440212515,10.327085036459223,0.02009,0.09743812440212515,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611199186,1,15/06/1940,small,-0.8770491803278697,10.021669361928186,1.1495721756170747,-0.4942862314343424,Training
Q1,Q1_37,2,1937,-0.7357486704022864,19.81004404974206,0.4649124276491586,0,0.00113893155277603,0.10682938399566856,1.18195,0.00113893155277603,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611199465,1,15/06/1937,small,-2.259016393442621,12.4571347019469,0.15151044705335168,0.06333242334603195,Training
Q1,Q1_5,3,2009,4.225690598382653,0,0.00549943649003086,0,0.17849440982068102,56.54839595396248,0.07779,0.17849440982068102,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/2009,small,-2.099180327868854,10.364104141641802,0.2669446327413246,-0.4158831361094659,Training
Q1,Q1_74,2,1942,-1.3862943611198906,49.740472817215526,0.1780507281014893,0,0.10181640112363886,0.015680775514709,1.7e-4,0.10181640112363886,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611199146,1,15/06/1942,small,-1.8393442622950809,11.373057813811434,0.4545991807571632,-0.18487537748267888,Training
Q1,Q1_75,2,1942,-1.3862943611199465,62.224656576552526,0.04409805751738736,0.02072086214873669,2.767655236613358e-4,0.04753425559189205,0.04103,2.767655236613358e-4,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611199465,1,15/06/1942,small,-1.8393442622950809,11.373057813811434,0.4545991807571632,-0.18487537748267888,Training
Q1,Q1_82,2,1942,-1.3862943611198906,9.41275667515161,2.4375002763007125,0.00413509852755311,0.00850678522284476,0.2685351234450482,7.4e-4,0.00850678522284476,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/1942,small,-1.8393442622950809,11.373057813811434,0.4545991807571632,-0.18487537748267888,Training
Q1,Q1_83,2,1942,-1.3862943611198826,21.76173407927153,0.25976591094325185,0.4543936857538333,0.02719855756260167,0.6890884188229593,0.18445,0.02719855756260167,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198746,1,15/06/1942,small,-1.8393442622950809,11.373057813811434,0.4545991807571632,-0.18487537748267888,Training
Q1,Q1_87,2,1942,-1.3862943611198906,0.19619859415433863,0.08077479565064062,0.4901762706907429,0.09107872937740202,0.12789783478560685,5.499999999999999e-4,0.09107872937740202,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611198906,1,15/06/1942,small,-1.8393442622950809,11.373057813811434,0.4545991807571632,-0.18487537748267888,Training
Q1,Q1_95,2,1947,-1.3862943611199146,0.00645142740988482,3.859449137870272,1.4753234154075687,0.998583653502202,0.31472135935593,0,0.998583653502202,E1 Q1,UG,NA,E1,Control,NA,-1.3862943611199186,1,15/06/1947,small,-1.8467213114754104,10.858410344510226,0.44927144911002465,-0.30270790205297654,Training
Q10,Q10_103,2,1939,-1.3862943611198826,0,0.2731864088665453,0.11172720687368495,0,0.00524342187838663,0.56789,0,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611198906,1,15/06/1939,small,-1.4688524590163887,10.997946023707046,0.7221697034800624,-0.27076012745356515,Training
Q10,Q10_11,23,1952,2.168736847987895,0,14.057377392297363,1.5860732372778483,0.41841383012345473,0.12321804381411704,0.05551,0.41841383012345473,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611199465,1,15/06/1952,small,-3.5196721311475416,10.113700377823736,-0.7589396944241169,-0.47321501747021616,Training
Q10,Q10_111,2,1942,-1.3862943611198906,2.3554739547064925,0.7727231630985524,2.2204611164420243,0.07149369401262753,0.9481969530840968,0.55199,0.07149369401262753,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611199465,1,15/06/1942,small,-1.8393442622950809,11.373057813811434,0.4545991807571632,-0.18487537748267888,Training
Q10,Q10_112,5,1946,-0.6931471805599453,0,1.3138841566957744,6.619322717754946,0.3346777531353562,0.1578374348530647,0.01581999999999999,0.3346777531353562,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611198906,1,15/06/1946,small,-3.2811475409836084,14.048625567842338,-0.5866763711666777,0.427716584825845,Training
Q10,Q10_133,2,1946,-1.3862943611198906,0,0.648359886736422,5.665957193683336,0.5150498602441769,0.07709789908828897,0.01544,0.5150498602441769,P1 E1 Q4,UG,NA,P1E1,Control,NA,-1.3862943611198866,1,15/06/1946,small,-3.2811475409836084,14.048625567842338,-0.5866763711666777,0.427716584825845,Training
Q11,Q11_144,4,1939,-1.3862943611199465,0,0.00407199953825005,0.13150352127840115,0.0119793849487421,0.34513869966912436,0.13594,0.0119793849487421,P1 Q1,G,2,P1,Control,NA,-1.3862943611199066,1,15/06/1939,small,-1.4688524590163887,10.997946023707046,0.7221697034800624,-0.27076012745356515,Training
Q11,Q11_182,2,1957,-0.04482751032528262,9.922395614707993,2.431590879072961,2.543688629079544e-5,0.03935688504354651,0.01174103068254523,0,0.03935688504354651,P1 Q1,G,2,P1,Control,NA,-1.406464412663375,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q11,Q11_190,2,1957,-1.3862943611199465,22.08317937082278,3.1424902213269696,7.050362936219727e-5,0.15513092635108253,0.01560596619021972,0,0.15513092635108253,P1 Q1,G,2,P1,Control,NA,-1.3862943611199465,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q11,Q11_196,2,1957,-0.9869741175211898,0,4.1730506635301925,0,0.00253800475057845,0.0732716468548255,0.01673,0.00253800475057845,P1 Q1,G,2,P1,Control,NA,-1.3862943611198746,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q11,Q11_52,17,1946,-0.6931471805599593,0,8.374283491805862,2.390043980250416,0.02197102054798703,0.00398773819597968,0.04684,0.02197102054798703,P1 Q1,G,2,P1,Control,NA,-1.3862943611199066,1,15/06/1946,small,-3.2811475409836084,14.048625567842338,-0.5866763711666777,0.427716584825845,Training
Q12,Q12_685,3,1932,-0.12663456469064172,0,0,0,3.5323848051175304,0.05590510230884521,0.09683,3.5323848051175304,P1 Q2,G,3,P1,Control,NA,-1.0466140659285028,1,15/06/1932,small,-3.0789227166276345,9.910082798910722,-0.44062887029991193,-0.5198348393898496,Training
Q12,Q12_821,3,1947,0.08717133679500454,0,0,0.13871245833247692,0.00513643813447702,4.681070489164126,0.75555,0.00513643813447702,P1 Q2,G,3,P1,Control,NA,-1.3862943611198906,1,15/06/1947,small,-1.8467213114754104,10.858410344510226,0.44927144911002465,-0.30270790205297654,Training
Q12,Q12_821,7,1951,0.35870683149746263,0,0,8.597664422398731e-4,1.2363557158989391,13.655067127726962,0.04714,1.2363557158989391,P1 Q2,G,3,P1,Control,NA,-1.3862943611199345,1,15/06/1951,small,-0.44590163934426175,11.534959358781656,1.4609484918831015,-0.14780676466782114,Training
Q12,Q12_831,6,1950,-1.3862943611199186,0,0,0.00432200654502095,0.678144469085967,5.978883776560336,0.18768,0.678144469085967,P1 Q2,G,3,P1,Control,NA,-1.3862943611199066,1,15/06/1950,small,-2.0926229508196696,11.207972433464734,0.2716803942054495,-0.22267295406905954,Training
Q12,Q12_831,7,1951,-1.3862943611199186,0,0,0.05215063317831856,1.098833806728977,14.266733426654245,0.06833,1.098833806728977,P1 Q2,G,3,P1,Control,NA,-1.3862943611199186,1,15/06/1951,small,-0.44590163934426175,11.534959358781656,1.4609484918831015,-0.14780676466782114,Training
Q12,Q12_831,8,1952,0.27301997185730903,0.08315208782445438,0.09235806181040604,0.05135014447529117,1.477918453508327,6.468941132520253,0.02078,1.477918453508327,P1 Q2,G,3,P1,Control,NA,-1.3862943611199186,1,15/06/1952,small,-3.5196721311475416,10.113700377823736,-0.7589396944241169,-0.47321501747021616,Training
Q12,Q12_855,2,1946,-1.3862943611199106,0.05050079787636955,0,3.0600931330214327,0.20234949658547,0.02302038404575743,0.00725999999999999,0.20234949658547,P1 Q2,G,3,P1,Control,NA,-1.3862943611199186,1,15/06/1946,small,-3.2811475409836084,14.048625567842338,-0.5866763711666777,0.427716584825845,Training
Q12,Q12_855,3,1947,1.5326976463940074,0,0.14057051496054382,1.4320450051557323,0.26834456644208265,0.01666608950914841,0.01614999999999999,0.26834456644208265,P1 Q2,G,3,P1,Control,NA,-1.3862943611199106,1,15/06/1947,small,-1.8467213114754104,10.858410344510226,0.44927144911002465,-0.30270790205297654,Training
Q12,Q12_857,2,1946,-1.3862943611199186,0,0,2.1213725313135186,0.01752650390886246,0.07757092764392919,0.67164,0.01752650390886246,P1 Q2,G,3,P1,Control,NA,-1.3862943611198906,1,15/06/1946,small,-3.2811475409836084,14.048625567842338,-0.5866763711666777,0.427716584825845,Training
Q12,Q12_857,3,1947,-1.3862943611199186,0,0.04549294640237139,1.4470633965291786,0.03489900845371294,0.08465998490589009,0.41561,0.03489900845371294,P1 Q2,G,3,P1,Control,NA,-1.3862943611199186,1,15/06/1947,small,-1.8467213114754104,10.858410344510226,0.44927144911002465,-0.30270790205297654,Training
Q12,Q12_882,2,1946,-0.2876820724518049,0,0,0.2013049181292103,1.4488618247584484,3.276045632851478,0.3459299999999999,1.4488618247584484,P1 Q2,G,3,P1,Control,NA,-1.3862943611199186,1,15/06/1946,small,-3.2811475409836084,14.048625567842338,-0.5866763711666777,0.427716584825845,Training
Q12,Q12_882,11,1955,-1.3862943611199186,0.00818,0,0.3810381164592904,2.9301072551670724,0.16626761998016837,0.26567,2.9301072551670724,P1 Q2,G,3,P1,Control,NA,-1.3862943611199186,1,15/06/1955,small,-1.9204918032786908,10.952951439024915,0.3959941326386502,-0.28106198614585876,Training
Q12,Q12_914,2,1947,0.16906456372215722,0,0,3.791274830705724e-4,0.7032653803993829,0.08876340122567872,0.0273,0.7032653803993829,P1 Q2,G,3,P1,Control,NA,-1.3862943611199345,1,15/06/1947,small,-1.8467213114754104,10.858410344510226,0.44927144911002465,-0.30270790205297654,Training
Q12,Q12_915,2,1947,-0.2263849215745179,0,0,0.43599114134561245,0.19041390453543452,0.030844340567369,1.15174,0.19041390453543452,P1 Q2,G,3,P1,Control,NA,-1.3862943611199186,1,15/06/1947,small,-1.8467213114754104,10.858410344510226,0.44927144911002465,-0.30270790205297654,Training
Q13,Q13_1003,2,1957,-0.2185145368939497,0.5697815234807407,0.9433417728477644,1.489974933264746e-4,0.3203139341835928,0.10807056533530444,0,0.3203139341835928,P1 Q3,G,2,P1,Control,NA,-1.2209422053152041,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q13,Q13_1004,2,1957,0.17282066373413785,0.13905291102792094,2.154012200845655,0,0.5739413888764828,0.3800845717885189,3e-5,0.5739413888764828,P1 Q3,G,2,P1,Control,NA,-1.2251564997931612,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q13,Q13_1006,2,1957,-1.229081127907677,0,1.138588668158684,0.17487558173961554,0.25188270020235554,4.652700219001315,0.04681,0.25188270020235554,P1 Q3,G,2,P1,Control,NA,-1.1123620233576004,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q13,Q13_1008,2,1957,-0.2876820724517756,0,3.612201400140336,0.19137581569242915,0.4439374553558914,7.30237742174456,0.00776,0.4439374553558914,P1 Q3,G,2,P1,Control,NA,-1.0283181871707867,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q13,Q13_1010,2,1957,0.3761464821743207,0,2.0718845122844156,0.00523466003642333,1.6654959353669463,2.8818849294201248,0.04667,1.6654959353669463,P1 Q3,G,2,P1,Control,NA,-1.158494125422045,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q13,Q13_1012,2,1957,1.8142873062402638,0,0.30004825412201874,0.09868721856818476,0.7576659897956889,10.943014562843214,0.13594,0.7576659897956889,P1 Q3,G,2,P1,Control,NA,-1.2490573125267581,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q13,Q13_1015,2,1957,-1.7505553340781113,0,0.03670039695920254,7.83904269436419e-5,0.48640278155745226,0.5572014015628418,4.1e-4,0.48640278155745226,P1 Q3,G,2,P1,Control,NA,-1.2773696960643075,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q13,Q13_1017,2,1957,-0.6931471805599733,0,4.978059879292849e-4,0.0236392841072838,1.025383481020265,0.46661620711502305,0.00479,1.025383481020265,P1 Q3,G,2,P1,Control,NA,-1.5575859373336358,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q13,Q13_1029,2,1957,1.6483646911389107,0,0.12736037937135447,3.901612337752516e-4,0.5351622989010183,55.490913321529774,0.8913800000000001,0.5351622989010183,P1 Q3,G,2,P1,Control,NA,-1.131755762399698,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q13,Q13_1037,2,1957,-1.3862943611198906,0,0.02126788522002184,1.9233664661442555,0.5756768323088192,0.98475355087818806,4.7e-4,0.5756768323088192,P1 Q3,G,2,P1,Control,NA,-1.2577548948670498,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q13,Q13_1040,2,1957,0.9362405194635159,5.3423344153253085,0,0.00701264960779944,0.4334495486426188,0.05983933155735836,0,0.4334495486426188,P1 Q3,G,2,P1,Control,NA,-1.0750167391896888,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q13,Q13_1043,2,1957,0.4204226576810498,0.00558704358291276,0.19628764162981024,4.124387360970241e-7,0.3287109440239748,1.2100467703433464,1.1e-4,0.3287109440239748,P1 Q3,G,2,P1,Control,NA,-1.1804354493167357,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
Q13,Q13_1044,2,1957,-1.5321269366245625,0,0.02876949398922333,0.00466255311455389,1.719041119736923,2.233334741819554,0.0153,1.719041119736923,P1 Q3,G,2,P1,Control,NA,-1.268692220251933,1,15/06/1957,small,-3.1081967213114763,10.046713542613617,-0.46177066255045757,-0.48855217227348446,Training
