response,climate,type,stat,func,DeltaAICc,WindowOpen,WindowClose,index,fit,species
area,TMAX_scaled,growth,mean,lin,-31.16,7,7,1,1,ARTR
area,VWC_scaled,growth,mean,lin,-23.4,13,1,1,2,ARTR
area,TMIN_scaled,growth_no_intxn,mean,lin,-7.46,2,1,3,1,ARTR
area,VWC_scaled,growth_no_intxn,mean,lin,-4.49,12,11,1,2,ARTR
area,VWC_scaled,growth_small,mean,lin,-6.44,1,1,4,1,ARTR
area,TAVG_scaled,growth_small,mean,lin,-9.51,10,9,2,2,ARTR
area,VWC_scaled,growth,mean,lin,-24.04,12,10,4,1,HECO
area,TAVG_scaled,growth,mean,lin,-11.51,21,19,2,2,HECO
area,VWC_scaled,growth_no_intxn,mean,lin,-14.32,12,10,4,1,HECO
area,TAVG_scaled,growth_no_intxn,mean,lin,-7.77,24,17,2,2,HECO
area,TMAX_scaled,growth_small,mean,lin,-6.5,6,6,1,1,HECO
area,VWC_scaled,growth_small,mean,lin,-6.27,23,23,1,2,HECO
area,VWC_scaled,growth,mean,lin,-16.77,1,1,4,1,POSE
area,TMAX_scaled,growth,mean,lin,-11.58,21,21,1,2,POSE
area,TMIN_scaled,growth_no_intxn,mean,lin,-2.92,6,5,3,1,POSE
area,VWC_scaled,growth_no_intxn,mean,lin,-6.47,14,6,1,2,POSE
area,TAVG_scaled,growth_small,mean,lin,-8.76,22,20,2,1,POSE
area,VWC_scaled,growth_small,mean,lin,-2.93,16,16,1,2,POSE
area,TMIN_scaled,growth,mean,lin,-59.41,10,8,3,1,PSSP
area,VWC_scaled,growth,mean,lin,-32.49,7,7,1,2,PSSP
area,TAVG_scaled,growth_no_intxn,mean,lin,-8.82,12,6,2,1,PSSP
area,VWC_scaled,growth_no_intxn,mean,lin,-3.6,21,19,1,2,PSSP
area,TMIN_scaled,growth_small,mean,lin,-9.5,9,6,3,1,PSSP
area,VWC_scaled,growth_small,mean,lin,-4.42,12,11,1,2,PSSP
